epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
53,4.513875008,0.055070437,0.055070437,4.251812458,0.109446272,0.109446272
54,4.536076069,0.054228131,0.054228131,4.264579773,0.111694358,0.111694358
55,4.571683407,0.053971291,0.053971291,4.336637974,0.107928112,0.107928112
56,4.534469604,0.054569401,0.054569401,4.265551567,0.111678481,0.111678481
57,4.534840584,0.053929877,0.053929877,4.354824543,0.107162736,0.107162736
58,4.53413105,0.054106832,0.054106832,4.345650673,0.106756903,0.106756903
59,4.535740852,0.053561233,0.053561233,4.334862232,0.107483327,0.107483327
60,4.569606304,0.054297186,0.054297186,4.296889782,0.114305399,0.114305399
61,4.575240612,0.053405181,0.053405181,4.233666897,0.110312916,0.110312916
62,4.57779026,0.052820977,0.052820977,4.340664864,0.108318269,0.108318269
63,4.589151382,0.053554293,0.053554293,4.203541756,0.117429838,0.117429838
64,4.577559948,0.053061284,0.053061284,4.365303993,0.111425303,0.111425303
65,4.559779644,0.053098276,0.053098276,4.358057976,0.107762411,0.107762411
66,4.584960461,0.05280973,0.05280973,4.334632874,0.11175406,0.11175406
67,4.600913525,0.052596431,0.052596431,4.328393459,0.109006956,0.109006956
68,4.580827713,0.052587617,0.052587617,4.373440742,0.105389059,0.105389059
69,4.592695236,0.051793221,0.051793221,4.350689411,0.106124982,0.106124982
70,4.600150108,0.052410614,0.052410614,4.381166935,0.111650392,0.111650392
71,4.629598618,0.051752903,0.051752903,4.386771202,0.112346254,0.112346254
72,4.628389359,0.051710557,0.051710557,4.352116585,0.111928664,0.111928664
73,4.630870342,0.051663995,0.051663995,4.346790791,0.108923554,0.108923554
74,4.649117947,0.051797237,0.051797237,4.387754917,0.106848717,0.106848717
75,4.628270149,0.051737517,0.051737517,4.360064507,0.112555876,0.112555876
76,4.63553381,0.051655713,0.051655713,4.363196373,0.113702774,0.113702774
77,4.634355068,0.051612433,0.051612433,4.389637947,0.103035547,0.103035547
78,4.642920494,0.050993685,0.050993685,4.389332771,0.10503874,0.10503874
79,4.655261993,0.050819635,0.050819635,4.359292984,0.110604919,0.110604919
80,4.685971737,0.050873991,0.050873991,4.357065201,0.107438885,0.107438885
81,4.65839386,0.051227078,0.051227078,4.386783123,0.110364333,0.110364333
82,4.667705536,0.050168347,0.050168347,4.382519722,0.112925112,0.112925112
83,4.67217207,0.050490946,0.050490946,4.322564125,0.112142041,0.112142041
84,4.689727306,0.049348723,0.049348723,4.470337868,0.108967386,0.108967386
85,4.682845116,0.050841831,0.050841831,4.387346745,0.111729644,0.111729644
86,4.677535057,0.050882693,0.050882693,4.412555695,0.103917263,0.103917263
87,4.674179554,0.050570611,0.050570611,4.389155388,0.108595647,0.108595647
88,4.697381496,0.050048169,0.050048169,4.429880619,0.105624244,0.105624244
89,4.681675911,0.050177831,0.050177831,4.326325893,0.115504861,0.115504861
90,4.714057446,0.049444914,0.049444914,4.463791847,0.10743314,0.10743314
91,4.70761013,0.049930662,0.049930662,4.426873207,0.10747949,0.10747949
92,4.700662136,0.049519405,0.049519405,4.396615982,0.111289978,0.111289978
93,4.692586899,0.049489185,0.049489185,4.492035866,0.104802266,0.104802266
94,4.710603237,0.049775906,0.049775906,4.446585655,0.108428337,0.108428337
95,4.740663528,0.048974004,0.048974004,4.343491554,0.107731678,0.107731678
96,4.742767334,0.049016837,0.049016837,4.458704948,0.110475704,0.110475704
97,4.745204926,0.049641404,0.049641404,4.396523952,0.109841183,0.109841183
98,4.742273331,0.048602123,0.048602123,4.452462673,0.109311245,0.109311245
99,4.752245903,0.04909531,0.04909531,4.423221588,0.111815825,0.111815825
0,4.719563007,0.048756551,0.048756551,4.424903393,0.107643925,0.107643925
1,4.715486526,0.049226131,0.049226131,4.470270634,0.108313717,0.108313717
2,4.765345097,0.048276715,0.048276715,4.473652363,0.107489601,0.107489601
3,4.762261868,0.048637625,0.048637625,4.438374996,0.105172381,0.105172381
4,4.755726814,0.048226953,0.048226953,4.515162945,0.108555838,0.108555838
5,4.778374195,0.047686979,0.047686979,4.465700626,0.108181179,0.108181179
6,4.752660275,0.048001017,0.048001017,4.508696556,0.110540435,0.110540435
7,4.791784763,0.047527093,0.047527093,4.469409466,0.109367229,0.109367229
8,4.785207748,0.048528139,0.048528139,4.462388039,0.108361229,0.108361229
9,4.812013626,0.048191492,0.048191492,4.452179432,0.106920585,0.106920585
10,4.803506374,0.04724998,0.04724998,4.499954224,0.104862824,0.104862824
11,4.781160831,0.047600884,0.047600884,4.529576302,0.10617175,0.10617175
12,4.805952549,0.047197226,0.047197226,4.520270348,0.110235229,0.110235229
13,4.81490469,0.047411285,0.047411285,4.438540936,0.106546782,0.106546782
14,4.797350883,0.047932368,0.047932368,4.4388237,0.113081075,0.113081075
15,4.806241989,0.046605028,0.046605028,4.514928818,0.105054215,0.105054215
16,4.848563671,0.046502504,0.046502504,4.468212128,0.104643509,0.104643509
17,4.818437099,0.047040407,0.047040407,4.530656338,0.106379949,0.106379949
18,4.835961819,0.046438087,0.046438087,4.486879826,0.103607222,0.103607222
19,4.83168745,0.04756996,0.04756996,4.495743752,0.110310435,0.110310435
20,4.839441299,0.047119226,0.047119226,4.485292435,0.111841604,0.111841604
21,4.860016346,0.046120808,0.046120808,4.513932228,0.108259499,0.108259499
22,4.845048428,0.046339855,0.046339855,4.514379025,0.106557488,0.106557488
23,4.830800056,0.046364699,0.046364699,4.55569458,0.109352745,0.109352745
24,4.862005711,0.046309698,0.046309698,4.488369942,0.107376635,0.107376635
25,4.874165535,0.04618125,0.04618125,4.532731056,0.10921748,0.10921748
26,4.860374928,0.04603117,0.04603117,4.512916088,0.109281614,0.109281614
27,4.867743969,0.045829233,0.045829233,4.544011116,0.105117723,0.105117723
28,4.874106884,0.045518342,0.045518342,4.55192852,0.104381278,0.104381278
29,4.92687273,0.045392036,0.045392036,4.544415951,0.102011085,0.102011085
30,4.892100811,0.045762949,0.045762949,4.515024185,0.109132268,0.109132268
31,4.900381565,0.045559417,0.045559417,4.521925449,0.104634702,0.104634702
32,4.90707922,0.045695238,0.045695238,4.597868443,0.103610836,0.103610836
33,4.889134407,0.045221675,0.045221675,4.569499969,0.109522738,0.109522738
34,4.898434162,0.045132421,0.045132421,4.524799347,0.105884612,0.105884612
35,4.91503334,0.044554733,0.044554733,4.56938839,0.102617301,0.102617301
36,4.872370243,0.045252018,0.045252018,4.619688511,0.104811311,0.104811311
37,4.865355968,0.044827957,0.044827957,4.614682198,0.102642395,0.102642395
38,4.910726547,0.044471025,0.044471025,4.595141888,0.104959473,0.104959473
39,4.94639492,0.044661455,0.044661455,4.622374535,0.108311728,0.108311728
40,4.921589851,0.044515237,0.044515237,4.646365166,0.102857098,0.102857098
41,4.956315041,0.043940946,0.043940946,4.565859795,0.105230115,0.105230115
42,4.944674492,0.044499256,0.044499256,4.610888004,0.104716882,0.104716882
43,4.938954353,0.04485447,0.04485447,4.567633152,0.105433665,0.105433665
44,4.931433678,0.044423971,0.044423971,4.61974287,0.106695116,0.106695116
45,4.954708576,0.04391934,0.04391934,4.607104301,0.109168932,0.109168932
46,4.934643745,0.043582473,0.043582473,4.570621014,0.106665656,0.106665656
47,4.954437733,0.043889176,0.043889176,4.612856865,0.106623806,0.106623806
48,4.975248814,0.044337321,0.044337321,4.667432308,0.104622088,0.104622088
49,4.952209473,0.043819919,0.043819919,4.648606777,0.106676623,0.106676623
50,5.010850906,0.043374933,0.043374933,4.680242062,0.10375718,0.10375718
51,4.99871397,0.043195758,0.043195758,4.627385139,0.109071329,0.109071329
52,4.989822865,0.043227162,0.043227162,4.611886024,0.108044185,0.108044185
53,4.981917858,0.043523222,0.043523222,4.631665707,0.104029253,0.104029253
54,5.001419544,0.04306161,0.04306161,4.63937664,0.105064295,0.105064295
55,4.995120049,0.043139316,0.043139316,4.663000107,0.102632761,0.102632761
56,4.974098206,0.043504771,0.043504771,4.560339928,0.110912718,0.110912718
57,4.98324728,0.043153223,0.043153223,4.701273918,0.106952623,0.106952623
58,5.018862724,0.04319831,0.04319831,4.653380394,0.103423163,0.103423163
59,5.015155792,0.042901721,0.042901721,4.64958334,0.108324364,0.108324364
60,5.000000477,0.04265995,0.04265995,4.595387459,0.109756149,0.109756149
61,4.99650526,0.043095134,0.043095134,4.613589764,0.107905045,0.107905045
62,4.987897873,0.04292256,0.04292256,4.688253403,0.102990732,0.102990732
63,5.009253502,0.042540751,0.042540751,4.666955471,0.106386244,0.106386244
64,5.015565872,0.042607609,0.042607609,4.630567074,0.103824355,0.103824355
65,4.994396687,0.042917937,0.042917937,4.724591255,0.108750567,0.108750567
66,5.00540638,0.042771112,0.042771112,4.640137196,0.107599057,0.107599057
67,5.038694859,0.042478032,0.042478032,4.65697813,0.106998481,0.106998481
68,5.052397728,0.041931204,0.041931204,4.654815674,0.103402793,0.103402793
69,5.056773186,0.04208871,0.04208871,4.636270523,0.107788481,0.107788481
70,5.073486328,0.042065669,0.042065669,4.688842297,0.103578724,0.103578724
71,5.069285393,0.041594408,0.041594408,4.713026047,0.106099941,0.106099941
72,5.045343399,0.04210218,0.04210218,4.743397713,0.104984388,0.104984388
73,5.066153049,0.040933169,0.040933169,4.749779701,0.104154423,0.104154423
74,5.041669846,0.041348081,0.041348081,4.656962395,0.107239939,0.107239939
75,5.075751781,0.041259099,0.041259099,4.66704607,0.105617419,0.105617419
76,5.079202652,0.041648485,0.041648485,4.755180836,0.100277364,0.100277364
77,5.091691494,0.041132286,0.041132286,4.721251011,0.106842138,0.106842138
78,5.091238499,0.041711938,0.041711938,4.714920998,0.108624853,0.108624853
79,5.074832916,0.041758522,0.041758522,4.681050301,0.108486198,0.108486198
80,5.117088318,0.041087713,0.041087713,4.662780285,0.1082559,0.1082559
81,5.126928329,0.041529469,0.041529469,4.678549767,0.106021836,0.106021836
82,5.100938797,0.040655602,0.040655602,4.754879951,0.105890632,0.105890632
